"id","name"
11364,"синий"
11365,"черный/серебристый"
11366,"синий/серебристый"
11367,"красный/серебристый"
11368,"серебристый"
11369,"белый"
11370,"желтый"
11371,"красный"
11372,"ярко-синий"
11373,"черный"
11374,"серебристый/красный/черный"
11375,"синий классический"
11376,"лайм"
11377,"синий прозрачный/серебристый"
11378,"красный прозрачный/серебристый"
11379,"белый/серебристый"
11380,"голубой"
11381,"зеленый"
11382,"синий прозрачный"
11383,"белый прозрачный"
11384,"черный прозрачный"
11385,"прозрачный светло-голубой"
11386,"красный прозрачный"
11387,"оранжевый прозрачный"
11388,"пурпурный прозрачный"
11389,"серебристый/черный"
11390,"бежевый/черный"
11391,"бежевый/лайм"
11392,"синий/черный"
11393,"красный/черный"
11394,"ярко-синий/серебристый"
11395,"черный, золотистый"
11396,"черный/золотистый"
11397,"белый/золотистый"
11398,"оранжевый"
11399,"голубой/серебристый"
11400,"оранжевый/серебристый"
11401,"лайм/серебристый"
11402,"синий классический/серебристый"
11403,"зеленый/серебристый"
11404,"светло-коричневый"
11405,"черный/серебристый/белый"
11406,"синий/серебристый/белый"
11407,"синий прозрачный/желтый"
11408,"прозрачный/желтый"
11409,"медный"
11410,"прозрачный/черный"
11411,"прозрачный/белый"
11412,"черный/красный"
11413,"белый/серый"
11414,"розовый"
11415,"темно-синий"
11416,"лавандовый"
11417,"бургунди"
11418,"серый"
11419,"темно-серый/серый/светло-серый/черный"
11420,"темно-синий/синий/голубой/черный"
11421,"зеленый/лайм/желтый"
11422,"зеленое яблоко"
11423,"фуксия"
11424,"неоновый зеленый"
11425,"светло-коричневый, черный/серебристый"
11426,"прозрачный"
11427,"белый/11259901"
11428,"зеленый/черный"
11429,"бесцветный полупрозрачный /синий"
11430,"бесцветный полупрозрачный /оранжевый"
11431,"бесцветный полупрозрачный /лайм"
11432,"синий/белый/прозрачный"
11433,"оранжевый/белый/прозрачный"
11434,"лайм/белый/прозрачный"
11435,"дерево/белый"
11436,"белый/черный"
11437,"белый/синий прозрачный"
11438,"белый/зеленый прозрачный"
11439,"классический синий"
11440,"темно-синий/белый"
11441,"серый меланж"
11442,"темно-синий/серый"
11443,"желтый/черный"
11444,"оранжевый/черный"
11445,"розовый/черный"
11446,"аква/белый"
11447,"зеленый/белый"
11448,"темно-серый/серый/светло-серый"
11449,"синий/голубой/светло-голубой"
11450,"красный/оранжевый/желтый"
11451,"темно-зеленый/зеленый/желто-зеленый"
11452,"синий/небесно-синий/голубой"
11453,"черный/белый"
11454,"черный/оранжевый"
11455,"темно-синий/классический синий"
11456,"черный/серый"
11457,"черный/ярко-синий"
11458,"тёмно-синий/белый"
11459,"зеленое яблоко/белый"
11460,"серый/ярко-синий"
11461,"серый/оранжевый"
11462,"серый/черный"
11463,"серый/красный"
11464,"серый/синий"
11465,"серый меланж/коричневый"
11466,"серебристый/синий"
11467,"серебристый/красный"
11468,"серебристый/зеленый"
11469,"серебристый/белый"
11470,"светло-синий"
11471,"титан"
11472,"золотистый"
11473,"синий/белый"
11474,"красный/белый"
11475,"лайм/белый"
11476,"оранжевый/белый"
11477,"белый/синий"
11478,"белый/красный"
11479,"белый/зеленое яблоко"
11480,"белый/оранжевый"
11481,"хаки"
11482,"розовый/серебристый"
11483,"серебристый, белый/черный"
11484,"прозрачный/золотистый"
11485,"серебристый/золотистый"
11486,"коричневый"
11487,"лайм/черный"
11488,"прозрачный/оранжевый/белый"
11489,"темно-коричневый"
11490,"черный/серебристый/золотистый"
11491,"коричневый/разноцветный"
11492,"бордовый"
11493,"темно-коричневый/серебристый"
11494,"серебристый, синий"
11495,"серебристый, зеленый"
11496,"желтый/серебристый"
11497,"белый/желтый"
11498,"коричневый/серебристый/черный"
11499,"золотистый/розовый"
11500,"серебристый/коричневый/зеленый"
11501,"коричневый/серебристый"
11502,"прозрачный/красный/черный"
11503,"прозрачный/синий/черный"
11504,"синий/красный"
11505,"разноцветный"
11506,"белый/синий/серебристый"
11507,"белый/оранжевый/серебристый"
11508,"белый/синий/черный"
11509,"черный/синий/серебристый"
11510,"черный/серый/серебристый"
11511,"черный/оранжевый/серебристый"
11512,"белый/прозрачный"
11513,"красное дерево/золотистый"
11514,"коричневый/золотистый"
11515,"красное дерево"
11516,"белый/ красный"
11517,"белый/ синий"
11518,"белый/ зеленый"
11519,"белый/ оранжевый"
11520,"белый/ фиолетовый"
11521,"белый/ черный"
11522,"синий/серый/белый/серебристый"
11523,"черный/серый/белый/серебристый"
11524,"серый/зеленый"
11525,"синий/светло-коричневый"
11526,"коричневый/светло-коричневый"
11527,"черный, желтый, серебристый, дерево"
11528,"черный/синий"
11529,"синий/белый/черный"
11530,"коричневый/черный"
11531,"серебристый/голубой"
11532,"натуральный"
11533,"белый/коричневый"
11534,"черный, серебристый"
11535,"золотистый/черный"
11536,"золотистый/красное дерево"
11537,"черный/коричневый"
11538,"прозрачный/коричневый"
11539,"прозрачный/черный/золотистый"
11540,"черный/золотистый/прозрачный"
11541,"красный/золотистый"
11542,"голубой/ золотистый"
11543,"голубой/золотистый"
11544,"кремовый"
11545,"натуральный/прозрачный"
11546,"коричневый/натуральный/прозрачный"
11547,"натуральный/коричневый/прозрачный"
11548,"бежевый"
11549,"прозрачный/золотистый, серебристый"
11550,"черный/прозрачный"
11551,"золотистый, серебристый, зеленый"
11552,"зеленый/золотистый"
11553,"прозрачный/серебристый"
11554,"желтый/синий"
11555,"фиолетовый"
11556,"серебристый/прозрачный/черный"
11557,"золотистый/белый"
11558,"красный/золотистый/черный"
11559,"черный/красный/золотистый"
11560,"белый/зеленый"
11561,"белый/фиолетовый"
11562,"бордовый металлик/серебристый"
11563,"синий металлик/серебристый"
11564,"зеленый металлик/серебристый"
11565,"голубой металлик/серебристый"
11566,"оранжевый металлик/серебристый"
11567,"светло-зеленый металлик/серебристый"
11568,"фиолетовый/серебристый"
11569,"серый мрамор/серебристый/черный"
11570,"синий/черный/серебристый"
11571,"серебристый/белый/черный"
11572,"коричневый, золотистый/красное дерево, золотистый/серебристый"
11573,"коричневый, золотистый"
11574,"белый/черный/серебристый"
11575,"белый/розовый/черный"
11576,"красный/черный/серебристый"
11577,"зеленый/черный/серебристый"
11578,"оранжевый/черный/серебристый"
11579,"серебристый/дерево"
11580,"серебристый/коричневый, черный, хаки"
11581,"серебристый/дерево/бежевый"
11582,"серебристый/дерево/черный"
11583,"серебристый/коричневый"
11584,"черный/зеленый"
11585,"черный/желтый"
11586,"бледно-розовый"
11587,"ярко-розовый"
11588,"черный, белый"
11589,"серый/черный /оранжевый"
11590,"серый/черный/оранжевый"
11591,"оранжевый прозрачный/белый"
11592,"красный прозрачный/белый"
11593,"зеленый прозрачный/белый"
11594,"синий прозрачный/белый"
11595,"зеленый прозрачный"
11596,"черный /серебристый"
11597,"ярко-синий/черный"
11598,"оранжевый/серебристый/черный"
11599,"красный/серебристый/черный"
11600,"лайм/серебристый/черный"
11601,"ярко-синий/серебристый/черный"
11602,"белый/серебристый/черный"
11603,"персиковый/белый"
11604,"ярко-синий/белый"
11605,"пурпурный/белый"
11606,"желтый/белый"
11607,"лайм/белый/серый"
11608,"красный/белый/серый"
11609,"фиолетовый/белый/серый"
11610,"синий/белый/серый"
11611,"черный/белый/серый"
11612,"натуральный/красный"
11613,"натуральный/синий"
11614,"белый/зеленый лайм"
11615,"белый/синий ледяной"
11616,"белый/ярко-синий"
11617,"белый/темно-синий"
11618,"черный/зеленое яблоко"
11619,"черный/белый/светло-серый"
11620,"черный /зеленое яблоко"
11621,"натуральный/зеленый"
11622,"натуральный/черный"
11623,"серебристый/прозрачный"
11624,"красный/прозрачный"
11625,"ярко-синий/прозрачный"
11626,"лайм прозрачный"
11627,"прозрачный/красный"
11628,"прозрачный/ярко-синий"
11629,"прозрачный/пурпурный"
11630,"прозрачный/оранжевый"
11631,"прозрачный/синий"
11632,"прозрачный/зеленый"
11633,"белый/лайм"
11634,"черный. серебристый"
11635,"фуксия/серебристый"
11636,"неоновый желтый/серебристый"
11637,"бежевый/оранжевый"
11638,"бежевый/красный"
11639,"бежевый/ярко-синий"
11640,"черный/неоново-розовый"
11641,"черный/неоново-оранжевый"
11642,"черный/неоново-голубой"
11643,"черный/неоново-зеленый"
11644,"черный/неоновый зеленый"
11645,"пурпурный"
11646,"прозрачный/разноцветный"
11647,"натуральный, разноцветный"
11648,"розовый/черный/серебристый"
11649,"желтый/черный/серебристый"
11650,"ярко-синий/черный/серебристый"
11651,"желтый прозрачный"
11652,"васильковый прозрачный"
11653,"темно-серый/черный"
11654,"белый/розовый"
11655,"серебристый/фиолетовый"
11656,"пурпурный/серебристый"
11657,"зеленый/серебристый/черный"
11658,"мокрый асфальт"
11659,"синий/черный/белый"
11660,"черный/темно-синий"
11661,"красный/темно-синий"
11662,"темно-синий/черный"
11663,"антрацит/желтый"
11664,"черный/зеленый/серый"
11665,"черный/аква"
11666,"бесцветный полупрозрачный/лайм"
11667,"бесцветный полупрозрачный/красный"
11668,"бесцветный полупрозрачный/синий"
11669,"бесцветный полупрозрачный/оранжевый"
11670,"бесцветный полупрозрачный/белый"
11671,"бесцветный полупрозрачный/черный"
11672,"черный, синий, желтый"
11673,"светло-коричневый, черный"
11674,"черный/светло-синий"
11675,"черный/лайм"
11676,"синий металлик"
11677,"мокрый асфальт/черный"
11678,"серебристый/мокрый асфальт"
11679,"темно-синий/красный"
11680,"белый/антрацит"
11681,"красный/антрацит"
11682,"оранжевый/антрацит"
11683,"синий/антрацит"
11684,"зеленое яблоко/антрацит"
11685,"черный/антрацит"
11686,"красный/серый"
11687,"небесно-синий/серый"
11688,"оранжевый/темно-синий"
11689,"темно-синий/антрацит"
11690,"серый стальной"
11691,"армейский зеленый"
11692,"розовый/белый"
11693,"серый/темно-синий"
11694,"серый/желтый"
11695,"темно-серый"
11696,"светло-серый/черный"
11697,"бордовый/черный"
11698,"графит/черный"
11699,"зеленое яблоко/черный/серебристый"
11700,"серебристый/оранжевый"
11701,"черный/серебристый/серый"
11702,"черный/серебристый, белый/серый"
11703,"черный/серебристый/фиолетовый"
11704,"бежевый/серебристый, черный/фиолетовый"
11705,"серый/серебристый, черный/фиолетовый"
11706,"черный/разноцветный"
11707,"синий/белый/серебристый"
11708,"зеленый/белый/серебристый"
11709,"оранжевый/белый/серебристый"
11710,"желтый/серебристый/черный"
11711,"коричневый/оранжевый/черный"
11712,"бежевый/оранжевый/черный"
11713,"черный/красный/белый"
11714,"серебристый/золотистый/красное дерево"
11715,"голубой/белый"
11716,"бирюзовый/белый"
11717,"серый/белый"
11718,"красный/белый/серебристый"
11719,"золотистый/зеленый"
11720,"синий/серый"
11721,"оранжевый/серый"
11722,"синий/серый/черный"
11723,"оранжевый/серый/черный"
11724,"белый/серый/черный"
11725,"голубой/черный"
11726,"коричневый/бежевый"
11727,"синий/зеленый/черный/серый"
11728,"черный/фиолетовый/серебристый"
11729,"черный/красный/серебристый"
11730,"белый/красный/серебристый"
11731,"коричневый/бежевый/прозрачный"
11732,"голубой сапфир"
11733,"оранжевый коралл"
11734,"фисташковый"
11735,"цитрусовый"
11736,"амарант"
11737,"морская волна"
11738,"бирюзовый"
11739,"светло-серый"
11740,"зеленый/прозрачный/бронзовый"
11741,"бронзовый/коричневый"
11742,"черный с вызолочением/коричневый"
11743,"бронзовый/зеленый"
11744,"антрацит"
11745,"платиновый/золотистый/черный"
11746,"серебристый/сиреневый/черный"
11747,"металлик/черный"
11748,"серебристый/кристальный"
11749,"черный/кристальный/золотистый"
11750,"прозрачный/винтажный розовый/розовое золото"
11751,"зеленое яблоко/черный"
11752,"светло-синий/черный"
11753,"серый меланж/черный"
11754,"красный/черный/серый"
11755,"синий/черный/серый"
11756,"серый стальной/черный"
11757,"темно-синий/черный/серый"
11758,"темно-синий/небесно-голубой"
11759,"синий/красный/серый"
11760,"антрацит/красный/серый"
11761,"черный/красный/серый"
11762,"стальной серый/черный"
11763,"стальной серый"
11764,"синий/темно-синий"
11765,"темно-синий/синий"
11766,"светло-коричневый/серебристый"
11767,"серебристый/серый"
11768,"серый прозрачный/серебристый"
11769,"серебристый/черный/красный"
11770,"черный/голубой"
11771,"коричнево-серый/коричневый"
11772,"коричневый/коричнево-серый"
11773,"черный/темно-серый/ярко-синий"
11774,"графит/серебристый"
11775,"синий/прозрачный"
11776,"лайм/черный/серебристый"
11777,"вишневый светлый"
11778,"lavender"
11779,"натуральный/ярко-синий"
11780,"натуральный/зеленое яблоко"
11781,"натуральный/желтый"
11782,"натуральный/белый"
11783,"натуральный/оранжевый"
11784,"натуральный/насыщенный синий"
11785,"натуральный/пурпурный"
11786,"черный/серый/белый"
11787,"черный/ярко-синий/белый"
11788,"черный/лайм/белый"
11789,"ярко-синий/черный/серый"
11790,"лайм/черный/серый"
11791,"белый/черный/серый"
11792,"оранжевый/черный/серый"
11793,"светло-зеленый"
11794,"белый матовый"
11795,"песочный"
11796,"серебристый металлик"
11797,"черный металлик"
11798,"серый/черный/лайм"
11799,"оранжевый/прозрачный"
11800,"лайм/прозрачный"
11801,"бургунди/розовый/золотистый"
