"id","name"
11455,"алюминий"
11456,"металл"
11457,"АБС пластик"
11458,"алюминий/металл/силикон"
11459,"пластик/алюминий"
11460,"пластик"
11461,"алюминий/АБС пластик"
11462,"нержавеющая сталь/тарпаулин"
11463,"алюминий/АБС пластик/нержавеющая сталь"
11464,"переработанный пластик"
11465,"переработанный ПЭТ-пластик"
11466,"картон"
11467,"пластик/металл"
11468,"переработанный картон/пластик"
11469,"полиуретан термоустойчивый"
11470,"полипропилен"
11471,"металл/акрил"
11472,"АБС пластик/ЕВА"
11473,"АБС пластик с мягким на ощупь покрытием"
11474,"ПВХ/АБС пластик"
11475,"неопрен"
11476,"АБС пластик/металл"
11477,"алюминий, пластик"
11478,"АБС пластик/силикон"
11479,"полиэстер"
11480,"полиэстер/металл/дерево"
11481,"полиэстер/дерево"
11482,"полиэстер, дерево"
11483,"эпонж полиэстер"
11484,"полиэстер/пластик/металл"
11485,"полиэстер эпонж"
11486,"полиэстер, металл, пластик"
11487,"полиэстер/металл/стекловолокно/прорезиненный пластик"
11488,"полиэстер, металл, стекловолокно, прорезиненный пластик"
11489,"Стекло"
11490,"Бамбук/нержавеющая сталь"
11491,"дерево"
11492,"нетканый полипропилен"
11493,"акрил"
11494,"АБС пластик/нержавеющая сталь"
11495,"Полиэтилен"
11496,"хлопок"
11497,"хлопок/резина"
11498,"бамбук"
11499,"искусственная кожа/металл"
11500,"алюминий/нейлон"
11501,"цинковый сплав"
11502,"натуральная кожа"
11503,"тарпаулин"
11504,"100% хлопок, джерси"
11505,"полиэстер 600D"
11506,"нейлон 210D"
11507,"нейлон/полиэстер"
11508,"нейлон Dobby"
11509,"полиуретан/пластик"
11510,"ПВХ"
11511,"нейлон с алмазным покрытием рипстоп"
11512,"ромбовидный рипстоп из полиэстера 600D и 75D"
11513,"нейлон с алмазным покрытием/полиэстер"
11514,"полиэстер 300D"
11515,"полиэстер 420D"
11516,"полиэстер/нейлон"
11517,"полиэстер 600D, 420D"
11518,"полиуретан"
11519,"алюминий/силикон"
11520,"дерево, холщовая ткань, ПЭТ-пластик"
11521,"ПЭТ-пластик, полиэстер, бумага"
11522,"полиэстер флис"
11523,"прорезиненный пластик"
11524,"металл с покрытием софт-тач"
11525,"стекло"
11526,"нержавеющая сталь"
11527,"нерж.сталь/пластик"
11528,"хрусталь"
11529,"хрусталь/позолочение"
11530,"латунь/бронза/серебро, позолота"
11531,"латунь/кожа ската/серебро"
11532,"нержавеющая cталь/пластик"
11533,"пластик/полиуретан"
11534,"латунь с покрытием GUN"
11535,"лаковое покрытие/латунь"
11536,"латунь"
11537,"латунь/лаковое покрытие"
11538,"латунь/хромовое покрытие"
11539,"нержавеющая сталь, лак, латунь, хромирование"
11540,"алюминий/лак"
11541,"100% шелк"
11542,"натуральная кожа/латунь"
11543,"керамика"
11544,"силикон"
11545,"полистоун"
11546,"полиэстер/пластик"
11547,"искусственная кожа"
11548,"пластик/металл/ПВХ"
11549,"нержавеющая сталь/пластик"
11550,"полиэстер/нерж.сталь/пластик"
11551,"фарфор/силикон"
11552,"дерево/металл"
11553,"металл/стекло"
11554,"85% акриловое волокно, 10% спандекс, 5% проводящая пряжа"
11555,"металл/полиэстер"
11556,"ЭВА/пластик/металл/полиэстер"
11557,"полиэстер/ПВХ"
11558,"искусственная кожа, металл, пластик"
11559,"металл, пластик"
11560,"полиэстер/металл/искусственная кожа"
11561,"полиэстер/метал/искуственная кожа"
11562,"эпонж/металл/пластик/шелк"
11563,"эпонж/металл/пластик"
11564,"полиэстер/ флис"
11565,"полиэстер/флис"
11566,"искусственная кожа/дерево/металл/фланель"
11567,"металл/ПВХ"
11568,"дерево/хлопок/резина"
11569,"металл/пластик"
11570,"металл/искусственная кожа"
11571,"дерево/искусственная кожа"
11572,"пластик/нерж.сталь"
11573,"нержавеющая сталь/дерево"
11574,"полиэстер/бамбук"
11575,"стекло/литьевой мрамор (специальный композитный материал)"
11576,"доска- дерево/искусственная кожа; фигурки- литьевой мрамор (специальный композитный материал)"
11577,"искусственная кожа/литьевой мрамор (специальный композитный материал)"
11578,"фарфор"
11579,"дерево/стекло"
11580,"стекло, металл"
11581,"натуральная кожа, нержавеющая сталь"
11582,"натуральная кожа/металл"
11583,"латунь/мрамор"
11584,"мрамор/латунь"
11585,"металл/стекло/стразы Swarovski"
11586,"стекло/металл/стразы"
11587,"стекло/металл"
11588,"искусственная кожа/металл/пластик"
11589,"шелк"
11590,"микрофаза"
11591,"латунь/позолота"
11592,"литьевой мрамор (специальный композитный материал)/стекло/дерево"
11593,"подстаканники, блюдца, сахарница- латунь/ложки - сталь/чашки - керамика"
11594,"подстаканники,блюдца,сахарница-латунь/ложки-сталь/чашки-керамика"
11595,"хрусталь/позолота"
11596,"100% хлопок"
11597,"нержавеющая сталь/пластик; хлопок/лен"
11598,"ювелирная латунь/лак"
11599,"ювелирная латунь/лак/хром"
11600,"полиэстер/ручка - резина, пластик"
11601,"стекло/сплав с содержанием олова не менее 95% (пьютер)"
11602,"драгоценный черный лак/перо-золото 750 пробы/отделка-позолота"
11603,"корпус- латунь, лак/отделка и детали дизайна- сталь, позолота"
11604,"латунь/полимер"
11605,"ювелирная латунь/лак/никеле-палладиевое покрытие"
11606,"ювелирная латунь/никеле-палладиевое покрытие/хром"
11607,"ювелирная латунь/лак/позолота 23К"
11608,"ювелирная латунь/лак/палладиевое покрытие"
11609,"ювелирная латунь/лак/никеле-палладиевое покрытие/покрытие из рутения"
11610,"корпус- нержавеющая сталь с лаковым покрытием, отделка- хром"
11611,"корпус- ювелирная латунь, отделка- оригинальная гравировка, позолота 23K, отдельные элементы дизайна - розовая позолота 23К"
